,sent_id,text,label
0,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_0,Exploring and Exploiting the Limited Utility of Captions in Recognizing Intention in Information Graphics ∗ Stephanie Elzer 1 and Sandra Carberry 2 and Daniel Chester 2 and Seniz Demir 2 and Nancy Green 3 and Ingrid Zukerman 4 and Keith Trnka 2 1 Dept.,
1,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_1,"of Computer Science, Millersville University, Millersville, PA 17551 2 Dept.",
2,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_2,"of Computer Science, University of Delaware, Newark, DE 19716 3 Dept.",
3,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_3,"of Mathematical Sciences, Univ.",
4,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_4,"of NC at Greensboro, Greensboro, NC 27402 4 School of CS & Software Engrg, Monash Univ.,",
5,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_5,"Clayton, Victoria 3800 Australia Abstract This paper presents a corpus study that explores the extent to which captions contribute to recognizing the intended message of an information graphic.",
6,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_6,"It then presents an implemented graphic interpretation system that takes into account a variety of communicative signals, and an evaluation study showing that evidence obtained from shallow processing of the graphic's caption has a significant impact on the system's success.",
7,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_7,This work is part of a larger project whose goal is to provide sight-impaired users with effective access to information graphics.,
8,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_8,"1 Introduction Language research has posited that a speaker or writer executes a speech act whose intended meaning he expects the listener to be able to deduce, and that the listener identifies the intended meaning by reasoning about the observed signals and the mutual beliefs of author and interpreter (Grice, 1969; Clark, 1996).",
9,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_9,"But as noted by Clark (Clark, 1996), language is more than just words.",
10,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_10,"It is any ""signal"" (or lack of signal when one is expected), where a signal is a deliberate action that is intended to convey a message.",
11,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_11,"Although some information graphics are only intended to display data values, the overwhelming majority of the graphics that we have examined (taken ∗ Authors can be reached via email as follows: elzer@cs.millersville.edu, nlgreen@uncg.edu, { carberry, chester, demir, trnka } @cis.udel.edu, Ingrid.Zukerman@infotech.monash.edu.au.",
12,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_12,"1998 1999 2000 2001 1000 1500 2000 2500 3000 personal filings Local bankruptcy Figure 1: Graphic from a 2001 Local Newspaper from newspaper, magazine, and web articles) appear to have some underlying goal or intended message, such as the graphic in Figure 1 whose communicative goal is ostensibly to convey the sharp increase in local bankruptcies in the current year compared with the previous decreasing trend.",
13,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_13,"Applying Clark's view of language, it is reasonable to presume that the author of an information graphic expects the viewer to deduce from the graphic the message that the graphic was intended to convey, by reasoning about the graphic itself, the salience of entities in the graphic, and the graphic's caption.",
14,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_14,This paper adopts Clark's view of language as any deliberate signal that is intended to convey a message.,
15,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_15,Section 3 investigates the kinds of signals used in information graphics.,
16,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_16,"Section 4 presents a corpus study that investigates the extent to which captions capture the message of the graphic, illustrates the issues that would arise in trying to fully understand such captions, and proposes shallow processing of the caption to extract evidence from it.",
17,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_17,"Section 5 then describes how evidence obtained from a variety of communicative signals, including shallow processing of the graphic's caption, is used in a probabilistic system for hypothesizing the intended message of the graphic.",
18,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_18,"Section 6 presents an eval-10 5 15 0−6 80+ 65−79 7−19 35−49 80+ 65−79 50−64 35−49 10 5 15 20−34 7−19 0−6 20−34 50−64 (a) (b) Figure 2: Two Alternative Graphs from the Same Data uation showing the system's success, with particular attention given to the impact of evidence from shallow processing of the caption, and Section 7 discusses future work.",
19,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_19,"Although we believe that our findings are extendible to other kinds of information graphics, our current work focuses on bar charts.",
20,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_20,"This research is part of a larger project whose goal is a natural language system that will provide effective access to information graphics for individuals with sight impairments, by inferring the intended message underlying the graphic, providing an initial summary of the graphic that includes the intended message along with notable features of the graphic, and then responding to follow-up questions from the user.",
21,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_21,2 Related Work Our work is related to efforts on graph summarization. (,
22,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_22,"Yu et al.,",
23,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_23,2002) used pattern recognition techniques to summarize interesting features of automatically generated graphs of time-series data from a gas turbine engine.,
24,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_24,"(Futrelle and Nikolakis, 1995) developed a constraint grammar for parsing vectorbased visual displays and producing representations of the elements comprising the display.",
25,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_25,"The goal of Futrelle's project is to produce a graphic that summarizes one or more graphics from a document (Futrelle, 1999).",
26,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_26,"The summary graphic might be a simplification of a graphic or a merger of several graphics from the document, along with an appropriate summary caption.",
27,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_27,Thus the end result of summarization will itself be a graphic.,
28,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_28,"The long range goal of our project, on the other hand, is to provide alternative access to information graphics via an initial textual summary followed by an interactive followup component for additional information.",
29,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_29,"The intended message of the graphic will be an important component of the initial summary, and hypothesizing it is the goal of our current work.",
30,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_30,3 Evidence about the Intended Message The graphic designer has many alternative ways of designing a graphic; different designs contain different communicative signals and thus convey different communicative intents.,
31,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_31,"For example, consider the two graphics in Figure 2.",
32,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_32,"The graphic in Figure 2a conveys that average doctor visits per year is U-shaped by age; it starts out high when one is very young, decreases into middle age, and then rises again as one ages.",
33,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_33,"The graphic in Figure 2b presents the same data; but instead of conveying a trend, this graphic seems to convey that the elderly and the young have the highest number of doctor visits per year.",
34,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_34,These graphics illustrate how choice of design affects the message that the graphic conveys.,
35,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_35,"Following the AutoBrief work (Kerpedjiev and Roth, 2000) (Green et al. ,",
36,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_36,"2004) on generating graphics that fulfill communicative goals, we hypothesize that the designer chooses a design that best facilitates the perceptual and cognitive tasks that are most important to conveying his intended message, subject to the constraints imposed by competing tasks.",
37,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_37,"By perceptual tasks we mean tasks that can be performed by simply viewing the graphic, such as finding the top of a bar in a bar chart; by cognitive tasks we mean tasks that are done via mental computations, such as computing the difference between two numbers.",
38,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_38,Thus one source of evidence about the intended message is the relative difficulty of the perceptual tasks that the viewer would need to perform in order to recognize the message.,
39,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_39,"For example, determiningthe entity with maximum value in a bar chart will be easiest if the bars are arranged in ascending or descending order of height.",
40,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_40,"We have constructed a set of rules, based on research by cognitive psychologists, that estimate the relative difficulty of performing different perceptual tasks; these rules have been validated by eye-tracking experiments and are presented in (Elzer et al. ,",
41,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_41,2004).,
42,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_42,"Another source of evidence is entities that have been made salient in the graphic by some kind of focusing device, such as coloring some elements of the graphic, annotations such as an asterisk, or an arrow pointing to a particular location in a graphic.",
43,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_43,"Entities that have been made salient suggest particular instantiations of perceptual tasks that the viewer is expected to perform, such as comparing the heights of two highlighted bars in a bar chart.",
44,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_44,"And lastly, one would expect captions to help convey the intended message of an information graphic.",
45,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_45,The next section describes a corpus study that we performed in order to explore the usefulness of captions and how we might exploit evidence from them.,
46,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_46,"4 A Corpus Study of Captions Although one might suggest relying almost exclusively on captions to interpret an information graphic, (Corio and Lapalme, 1999) found in a corpus study that captions are often very general.",
47,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_47,The objective of their corpus study was to categorize the kinds of information in captions so that their findings could be used in forming rules for generating graphics with captions.,
48,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_48,Our project is instead concerned with recognizing the intended message of an information graphic.,
49,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_49,"To investigate how captions might be used in a system for understanding information graphics, we performed a corpus study in which we analyzed the first 100 bar charts from our corpus of information graphics; this corpus contains a variety of bar charts from different publication venues.",
50,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_50,The following subsections present the results of this corpus study.,
51,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_51,4.1 Do Captions Convey the Intended Message?,
52,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_52,Our first investigation explored the extent to which captions capture the intended message of an information graphic.,
