,paperID,pos_score,sent_pos,text
135,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.9102907776832581,135,"We performed a series of experiments in which each graphic in the corpus is selected once as the test graphic, the probability tables in the Bayesian network are learned from the remaining graphics, and the test graphic is presented to the system as a test case."
185,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.2255888432264328,185,To appear in Proc.
190,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.20450781285762787,190,Cambridge University Press.
189,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.16825656592845917,189,Using Language .
204,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.1591651737689972,204,on AI (IJCAI).
62,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.12069132179021835,62,Figure 3 shows the results.
75,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0688348263502121,75,34% were judged to convey most of the intended message.
210,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.05514894798398018,210,R. Futrelle.
181,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.05454164370894432,181,on Spoken Language Processing (ICSLP) .
237,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.04486892744898796,237,"In ES2002 , 105–118."
182,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0367732010781765,182,D. Chester and S. Elzer.
55,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0361451730132103,55,The coders were asked to identify 1) the intended message of the graphic using a list of 12 high-level intentions (see Section 5 for examples) and 2) the instantiation of the parameters.
221,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.025007816031575203,221,"Philosophical Review , 68:147–177."
119,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.022604191675782204,119,1994) capturing their mutual exclusivity.
212,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.021377716213464737,212,Summarization of diagrams in documents.
134,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.019902337342500687,134,"To evaluate our approach, we used leave-one-out cross validation."
218,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.017605291679501534,218,H. P. Grice.
220,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.014811517670750618,220,Utterer's Meaning and Intentions.
191,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.012474402785301208,191,M. Corio and G. Lapalme.
58,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.009841368533670902,58,"2002), in which the coders discussed the graphic to try to come to an agreement."
54,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.006250736303627491,54,The intended message of each bar chart had been previously annotated by two coders.
202,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.003934025764465332,202,A probabilistic framework for recognizing intention in information graphics.
227,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0034415768459439278,227,S. Kerpedjiev and S. Roth.
205,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0034415768459439278,205,R. Futrelle and N. Nikolakis.
222,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.003405085066333413,222,"M. Huber, E. Durfee, and M. Wellman."
180,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0032124631106853485,180,of the Int'l Conf.
233,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0024931603111326694,233,"on Intelligent User Interfaces , 60–67."
137,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0024586485233157873,137,Overall success was then computed by averaging together the results of the whole series of experiments.
79,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001980115892365575,79,"Although this caption does not fully capture the communicative intention of the graphic (since it does not capture the steady increase conveyed by the graphic), we placed it in the first category since one might argue that riding high in the polls would suggest both high and improving ratings."
209,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001934461877681315,209,of the Third International Conference on Document Analysis and Recognition .
3,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0017458776710554957,3,"of Mathematical Sciences, Univ."
18,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001743328757584095,18,"Section 6 presents an eval-10 5 15 0−6 80+ 65−79 7−19 35−49 80+ 65−79 50−64 35−49 10 5 15 20−34 7−19 0−6 20−34 50−64 (a) (b) Figure 2: Two Alternative Graphs from the Same Data uation showing the system's success, with particular attention given to the impact of evidence from shallow processing of the caption, and Section 7 discusses future work."
66,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0015769271412864327,66,"commentary relevant to graphic (4 captions): ""Basic performers: One look at the best performing stocks in the Standard&Poor's 500 index this year shows that companies with basic businesses are rewarding investors"" on agraphic conveying the relative rank of different stocks, some of which were basic businesses and some of which were not."
24,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0014971487689763308,24,"(Futrelle and Nikolakis, 1995) developed a constraint grammar for parsing vectorbased visual displays and producing representations of the elements comprising the display."
20,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001495698350481689,20,"This research is part of a larger project whose goal is a natural language system that will provide effective access to information graphics for individuals with sight impairments, by inferring the intended message underlying the graphic, providing an initial summary of the graphic that includes the intended message along with notable features of the graphic, and then responding to follow-up questions from the user."
68,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001372298109345138,68,"commentary extending message of graphic (8 captions): ""Profits are getting squeezed"" on a graphic conveying that Southwest Airlines net income is estimated to increase in 2003 after falling the preceding three years."
193,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001357681816443801,193,Generation of texts for information graphics.
236,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0012986819492653012,236,Recognising visual patterns to communicate gas turbine time-series data.
149,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0012873036321252584,149,"In the Business Week graphic, the labels sometimes apThe second function of a verb is to focus attention on some aspect of the data."
29,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.001211221911944449,29,"The intended message of the graphic will be an important component of the initial summary, and hypothesizing it is the goal of our current work."
186,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0009887763299047947,186,of the 15th Int'l Symposium on Methodologies for Intelligent Systems .
60,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0009349333122372627,60,"2002), this allowed us to include the ""harder"" or less obvious graphics in our study, thus lowering our expected system performance."
226,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0008871479076333344,226,"of Uncertainty in AI , 344–351."
108,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0008697612793184817,108,Next a Caption Processing Module analyzes the caption.
91,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0007891145651228726,91,Thus we began investigating whether shallow processing of the caption might provide evidence that could be effectively combined with other evidence obtained from the graphic itself.
213,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00075765565270558,213,"In I. Mani and M. Maybury, editors, Advances in Automated Text Summarization ."
53,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0007317709387280047,53,We extracted the first 100 graphics Category # Category-1: Captures intention (mostly) 34 Category-2: Captures intention (somewhat) 15 Category-3: Hints at intention 7 Category-4: No contribution to intention 44 Figure 3: Analysis of 100 Captions on Bar Charts from our corpus of bar charts.
81,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0007257031393237412,81,7% of the captions were judged to only hint at the graphic's message.
224,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0007249193731695414,224,The automated mapping of plans for plan recognition.
150,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0006776002119295299,150,"For example, consider the graphic in Figure 4."
133,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0006633244920521975,133,"As mentioned earlier, the intended message of each information graphic in our corpus of bar charts had been previously annotated by two coders."
203,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0006592815625481308,203,To appear in Proceedings of the Int'l Joint Conf.
142,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0006120649049989879,142,There appear to be two primary functions of verbs.
19,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0005904189893044531,19,"Although we believe that our findings are extendible to other kinds of information graphics, our current work focuses on bar charts."
110,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0005831917515024543,110,Adjectives such as more and most were handled in a similar manner.
28,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0005679893074557185,28,"The long range goal of our project, on the other hand, is to provide alternative access to information graphics via an initial textual summary followed by an interactive followup component for additional information."
152,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0005136884283274412,152,Other possibilities have some probability assigned to them.
167,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0005012838519178331,167,We need to investigate resolving such coreferences.
158,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0004993397160433233,158,This is not surprising.
31,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0004910767893306911,31,"For example, consider the two graphics in Figure 2."
169,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00048783267266117036,169,"We will also extend our work to other kinds of information graphics such as line graphs and pie charts, and to complex graphics, such as grouped and composite bar charts."
216,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0004601153777912259,216,Autobrief: an experimental system for the automatic generation of briefings in integrated text and information graphics.
51,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0004429702239576727,51,4.1 Do Captions Convey the Intended Message?
198,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0004046642570756376,198,Incorporating perceptual task effort into the recognition of intention in information graphics.
184,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00040055386489257216,184,Getting computers to see information graphics so users do not have to.
107,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0003832709917332977,107,the result is an XML file that describes the graphic and all of its components.
165,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00035340015892870724,165,"Occasionally, labels in the graphic appear differently in the caption."
9,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0003396461543161422,9,"But as noted by Clark (Clark, 1996), language is more than just words."
15,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0003355219669174403,15,Section 3 investigates the kinds of signals used in information graphics.
21,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0003225543478038162,21,2 Related Work Our work is related to efforts on graph summarization. (
88,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002965264138765633,88,"One example is ""Chirac is riding high in the polls"" which would require understanding the meaning of riding high in the polls ."
72,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00029546135920099914,72,"This caption has nothing to do with the change-trend message of the graphic, but appears to be an attempt at humor. •"
161,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002809945435728878,161,Our vision system does not yet have heuristics for recognizing non-standard placement of labels and axis headings.that conveyed an entity ranked behind some others.
38,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002754160377662629,38,Thus one source of evidence about the intended message is the relative difficulty of the perceptual tasks that the viewer would need to perform in order to recognize the message.
16,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00027443154249340296,16,"Section 4 presents a corpus study that investigates the extent to which captions capture the message of the graphic, illustrates the issues that would arise in trying to fully understand such captions, and proposes shallow processing of the caption to extract evidence from it."
90,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002718613832257688,90,"4.3 Simple Evidence from Captions Although our corpus analysis showed that captions can be helpful in understanding the message conveyed by an information graphic, it also showed that full understanding of a caption would be problematic; moreover, once the caption was understood, we would still need to relate it to the information extracted from the graphic itself, which appears to be a difficult problem."
229,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002687802480068058,229,Mapping communicative goals into conceptual tasks to generate graphics in discourse.
59,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00026796682504937053,59,"As observed by (Ang et al. ,"
144,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00026444002287462354,144,"One example from our corpus is a graphic with the caption ""Legal immigration to the U.S. has been rising for decades"" ."
126,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00024336333444807678,126,Adjectives such as more and most that provide evidence are handled in a similar manner.
23,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00023258694272954017,23,2002) used pattern recognition techniques to summarize interesting features of automatically generated graphs of time-series data from a gas turbine engine.
46,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002321647625649348,46,"4 A Corpus Study of Captions Although one might suggest relying almost exclusively on captions to interpret an information graphic, (Corio and Lapalme, 1999) found in a corpus study that captions are often very general."
36,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00023033084289636463,36,"2004) on generating graphics that fulfill communicative goals, we hypothesize that the designer chooses a design that best facilitates the perceptual and cognitive tasks that are most important to conveying his intended message, subject to the constraints imposed by competing tasks."
50,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00022717185493092984,50,The following subsections present the results of this corpus study.
80,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00022325327154248953,80,"15% of the captions were judged to convey only part of the graphic's intended message; an example is ""Drug spending for young outpace seniors"" that appears on a graphic whose intended message appears to be that there is a downward trend by age for increased drug spending; we classified the caption in Category-2 since the caption fails to capture that the graphic is talking about percent increases in drug spending, not absolute drug spending, and that the graphic conveys the downward trend for increases in drug spending by age group, not just that increases for the young were greater than for the elderly."
114,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.000219570763874799,114,"The network is described in (Elzer et al. ,"
85,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00021930316870566458,85,"4.2 Understanding Captions For the 49 captions in Category 1 or 2 (where the caption conveyed at least some of the message of the graphic), we examined how well the caption could be parsed and understood by a natural language system."
52,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002185777120757848,52,Our first investigation explored the extent to which captions capture the intended message of an information graphic.
35,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0002163648750865832,35,"Following the AutoBrief work (Kerpedjiev and Roth, 2000) (Green et al. ,"
97,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00020832725567743182,97,Adjectives derived from verbs function similarly to verbs.
160,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00020574091468006372,160,"On the other hand, the verb class containing lag occurred both in the caption of graphics whose message was judged to convey the entity with the minimum value and in the caption of graphics pear on the bars and sometimes next to them, and the heading for the dependent axis appears in the empty white space of the graphic instead of below the values on the horizontal axis as we show it."
44,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00020034416229464114,44,"And lastly, one would expect captions to help convey the intended message of an information graphic."
173,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00019964082457590848,173,"Our corpus study showed that about half of all captions contain some evidence that contributes to understanding the graphic's message, but that fully understanding captions is a difficult problem."
195,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0001933431049110368,195,"of the 7th European Workshop on Natural Language Generation , 49–58."
65,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00019327779591549188,65,"reference to dependent axis (15 captions): ""Lancaster rainfall totals for July"" on a graphic conveying that July-02 was the driest of the previous decade. •"
116,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00018951238598674536,116,"Very briefly, our analysis of simple bar charts has shown that the intended message can be classified into one of 12 high-level goals; examples of such goals include: • Change-trend: Viewer to believe that there is a < slope-1 > trend from < param1 > to < param2 > and a significantly different < slope-2 > trend from < param3 > to < param4 > • Relative-difference: Viewer to believe that the value of element < param1 > is < comparison > the value of element < param2 > where < comparison > is greater-than , less-than , or equal-to ."
67,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00017977997777052224,67,"This type of information was classified as deductive by (Corio and Lapalme, 1999) since it draws a conclusion from the data depicted in the graphic. •"
1,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00017815377213992178,1,"of Computer Science, Millersville University, Millersville, PA 17551 2 Dept."
48,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00017386976105626673,48,Our project is instead concerned with recognizing the intended message of an information graphic.
7,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00016733551456127316,7,This work is part of a larger project whose goal is to provide sight-impaired users with effective access to information graphics.
140,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00016581335512455553,140,Thus we conclude that shallow processing of a caption provides evidence that can be effectively utilized in a Bayesian network to recognize the intended message of an information graphic.
162,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00016329115896951407,162,"Therefore, conveying the entity with minimum value is still assigned a non-negligible probability."
94,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.0001627816236577928,94,"Another example from our corpus is ""American Express total billings still lag"" ; the verb lag suggests that the graphic conveys that some entity (in this case American Express ) is ranked behind some others. •"
45,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00015872697986196727,45,The next section describes a corpus study that we performed in order to explore the usefulness of captions and how we might exploit evidence from them.
132,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00015621472266502678,132,"6 Evaluation In this paper, we are particularly interested in whether shallow processing of captions can contribute to recognizing the intended message of an information graphic."
170,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00015168843674473464,170,"8 Summary To our knowledge, our project is the first to investigate the problem of understanding the intended message of an information graphic."
5,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-,0.00015093367255758494,5,"Clayton, Victoria 3800 Australia Abstract This paper presents a corpus study that explores the extent to which captions contribute to recognizing the intended message of an information graphic."
