,sent_id,text,label
0,pagesOfTextToDisplay-metadataToHighlight.json.json_0,"Transcribing Content from Structural Images with Spotlight Mechanism Yu Yin, Zhenya Huang Anhui Province Key Laboratory of Big Data Analysis and Application, University of Science and Technology of China {yxonic,huangzhy}@mail.ustc.edu.cn Enhong Chen ∗ Anhui Province Key Laboratory of Big Data Analysis and Application, University of Science and Technology of China cheneh@ustc.edu.cn Qi Liu Anhui Province Key Laboratory of Big Data Analysis and Application, University of Science and Technology of China qiliuql@ustc.edu.cn Fuzheng Zhang, Xing Xie Microsoft Research Asia {fuzzhang,xing.xie}@microsoft.com Guoping Hu iFLYTEK Research gphu@iflytek.com ABSTRACT Transcribing content from structural images, e.g., writing notes from music scores, is a challenging task as not only the content objects should be recognized, but the internal structure should also be preserved.",
1,pagesOfTextToDisplay-metadataToHighlight.json.json_1,"Existing image recognition methods mainly work on images with simple content (e.g., text lines with characters), but are not capable to identify ones with more complex content (e.g., structured code), which often follow a fine-grained grammar.",
2,pagesOfTextToDisplay-metadataToHighlight.json.json_2,"To this end, in this paper, we propose a hierarchical S potlight T ranscribing N etwork (STN) framework followed by a two-stage ""where-to-what"" solution.",
3,pagesOfTextToDisplay-metadataToHighlight.json.json_3,"Specifically, we first decide ""where-tolook"" through a novel spotlight mechanism to focus on different areas of the original image following its structure.",
4,pagesOfTextToDisplay-metadataToHighlight.json.json_4,"Then, we decide ""what-to-write"" by developing a GRU based network with the spotlight areas for transcribing the content accordingly.",
5,pagesOfTextToDisplay-metadataToHighlight.json.json_5,"Moreover, we propose two implementations on the basis of STN, i.e., STNM and STNR, where the spotlight movement follows the Markov property and Recurrent modeling, respectively.",
6,pagesOfTextToDisplay-metadataToHighlight.json.json_6,We also design a reinforcement method to refine our STN framework by self-improving the spotlight mechanism.,
7,pagesOfTextToDisplay-metadataToHighlight.json.json_7,"We conduct extensive experiments on many structural image datasets, where the results clearly demonstrate the effectiveness of STN framework.",
8,pagesOfTextToDisplay-metadataToHighlight.json.json_8,"KEYWORDS Structural image; Spotlight Transcribing Network; reinforcement learning ACM Reference Format: Yu Yin, Zhenya Huang, Enhong Chen, Qi Liu, Fuzheng Zhang, Xing Xie, and Guoping Hu.",
9,pagesOfTextToDisplay-metadataToHighlight.json.json_9,2018.,
10,pagesOfTextToDisplay-metadataToHighlight.json.json_10,Transcribing Content from Structural Images with Spotlight Mechanism.,
11,pagesOfTextToDisplay-metadataToHighlight.json.json_11,In KDD '18: The 24th ACM SIGKDD International ∗ The corresponding author.,
12,pagesOfTextToDisplay-metadataToHighlight.json.json_12,Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page.,
13,pagesOfTextToDisplay-metadataToHighlight.json.json_13,Copyrights for components of this work owned by others than ACM must be honored.,
14,pagesOfTextToDisplay-metadataToHighlight.json.json_14,Abstracting with credit is permitted.,
15,pagesOfTextToDisplay-metadataToHighlight.json.json_15,"To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee.",
16,pagesOfTextToDisplay-metadataToHighlight.json.json_16,Request permissions from permissions@acm.org.,
17,pagesOfTextToDisplay-metadataToHighlight.json.json_17,"KDD '18, August 19–23, 2018, London, United Kingdom © 2018 Association for Computing Machinery.",
18,pagesOfTextToDisplay-metadataToHighlight.json.json_18,ACM ISBN 978-1-4503-5552-0/18/08. . .,
19,pagesOfTextToDisplay-metadataToHighlight.json.json_19,"$15.00 https://doi.org/10.1145/3219819.3219962 Conference on Knowledge Discovery & Data Mining, August 19–23, 2018, London, United Kingdom.",
20,pagesOfTextToDisplay-metadataToHighlight.json.json_20,"ACM, New York, NY, USA, 10 pages.",
21,pagesOfTextToDisplay-metadataToHighlight.json.json_21,https://doi.,
22,pagesOfTextToDisplay-metadataToHighlight.json.json_22,"org/10.1145/3219819.3219962 1 INTRODUCTION Transcribing content from images refers to recognizing semantic information in images into comprehensible forms (e.g., text) in computer vision [ 38 ].",
23,pagesOfTextToDisplay-metadataToHighlight.json.json_23,"It is an essential problem for computers to understand how humans communicate about what they see, which includes many tasks, such as reading text from scenes [ 17 , 40 ], writing notes from music scores [ 28 ] and recognizing formulas from pictures [6].",
24,pagesOfTextToDisplay-metadataToHighlight.json.json_24,"As it is crucial in many applications, e.g., image retrieval [ 5 , 29 ], online education systems [ 13 , 20 ] and assistant devices [ 9 ], much attention has been attracted from both academia and industry [38].",
25,pagesOfTextToDisplay-metadataToHighlight.json.json_25,"In the literature, there are many efforts for this transcribing problem, especially on text reading task.",
26,pagesOfTextToDisplay-metadataToHighlight.json.json_26,"Among them, the most representative one called Optical Character Recognition (OCR) has been extensively studied in many decades [ 14 ], which mainly follows rule-based solutions for generating texts from well-scanned documents [ 21 ].",
27,pagesOfTextToDisplay-metadataToHighlight.json.json_27,"Recently, researchers focus on a more general scene text recognition task, aiming to recognize texts from natural images [ 33 ].",
28,pagesOfTextToDisplay-metadataToHighlight.json.json_28,"Usually, existing approaches are designed in an encoder-decoder architecture, which consists of two components: (1) a CNN based encoder to capture and represent images as feature vectors that preserve their the semantic information [ 26 ]; (2) a RNN based decoder that decodes the features and generates output text sequences either directly [ 33 ], or attentively [ 36 ].",
29,pagesOfTextToDisplay-metadataToHighlight.json.json_29,"Though good performances have been achieved, previous studies mainly focus on the images with straightforward content (i.e., text with characters), while ignoring large proportion of structural images, where the content objects are well-formed in complex manners, e.g., music scores (Figure 1(a)) and formulas (Figure 1(b)).",
30,pagesOfTextToDisplay-metadataToHighlight.json.json_30,"Therefore, the problem of transcribing content from these structural images remains pretty much open.",
31,pagesOfTextToDisplay-metadataToHighlight.json.json_31,"In fact, there are many technical challenges along this line due to the unique characteristics of structural images.",
32,pagesOfTextToDisplay-metadataToHighlight.json.json_32,"First, different from natural images, where the text content is mostly placed in simple patterns, in structural images, the content objects usually follow a fine-grained grammar, and are organized in a more complex manner.",
33,pagesOfTextToDisplay-metadataToHighlight.json.json_33,"E.g., in Figure 1(a), notes from the music score are not only Research Track Paper KDD 2018, August 19 ‒ 23, 2018, London, United Kingdom 2643 KDD '18, August 19–23, 2018, London, United Kingdom Y. Yin et al.",
